title,company,type,posted_on,cities,start_date,duration_months,stipend,apply_by
AI/ML Intern,"Chhabra, Khanna and Joshi",Full Time,07-05-2026,"Hyderabad,Kolkata,Ahmedabad",15-05-2026,4,0,07-06-2026
Web Developer,Radhakrishnan-Chaudry,Part Time,31-07-2026,"Hyderabad,Delhi",27-08-2026,1,0,13-09-2026
Web Developer,Bhatnagar Group,Remote,07-03-2026,"Chennai,Kolkata",22-03-2026,9,5000,26-04-2026
Data Analyst,Sankar PLC,Part Time,31-08-2026,"Ahmedabad,Delhi,Pune,Kolkata",Immediately,7,5000,15-10-2026
Content Writing,Padmanabhan-Chakraborty,Part Time,18-06-2026,"Jaipur,Chennai,Delhi,Lucknow",10-07-2026,2,15000,07-07-2026
Web Developer,Deep Inc,Remote,15-07-2026,"Chennai,Kolkata",09-08-2026,9,15000,04-08-2026
Business Development,"Mutti, Deshpande and Goel",Part Time,22-06-2026,"Ahmedabad,Pune,Bengaluru,Jaipur",Immediately,12,10000,14-08-2026
Marketing,Barman-Bir,Remote,19-01-2026,"Lucknow,Jaipur,Bengaluru",Immediately,8,0,05-02-2026
Business Development,Divan-Biswas,Full Time,03-04-2026,"Jaipur,Pune,Lucknow",18-04-2026,7,10000,17-05-2026
AI/ML Intern,Sankar PLC,Remote,21-08-2026,"Kolkata,Delhi",Immediately,10,10000,07-09-2026
AI/ML Intern,Dube LLC,Remote,29-08-2026,"Chennai,Jaipur",Immediately,4,5000,04-10-2026
Data Analyst,"Tank, Khatri and Ratta",Remote,22-06-2026,"Bengaluru,Ahmedabad,Pune,Jaipur",Immediately,6,15000,26-07-2026
Marketing,Seth-Prakash,Part Time,21-04-2026,"Bengaluru,Mumbai,Delhi",Immediately,5,10000,14-05-2026
Web Developer,Bassi LLC,Part Time,22-01-2026,Jaipur,16-02-2026,12,10000,15-02-2026
Business Development,"Lalla, Morar and Swamy",Full Time,24-04-2026,"Lucknow,Bengaluru,Mumbai",Immediately,5,5000,21-06-2026
Web Developer,Khanna Group,Full Time,12-03-2026,"Chennai,Lucknow",Immediately,4,10000,05-04-2026
Web Developer,"Vaidya, Parmar and Dhawan",Full Time,29-06-2026,"Jaipur,Pune,Mumbai",10-07-2026,8,0,10-08-2026
Data Analyst,Dutta Inc,Remote,07-03-2026,Chennai,17-03-2026,10,15000,27-03-2026
Data Analyst,"Lala, Joshi and Badami",Part Time,05-05-2026,"Chennai,Lucknow",Immediately,4,15000,04-06-2026
Data Analyst,Golla and Sons,Part Time,06-05-2026,"Ahmedabad,Lucknow,Delhi,Mumbai",01-06-2026,8,15000,14-06-2026
Content Writing,Srinivasan Ltd,Part Time,06-06-2026,"Hyderabad,Kolkata",Immediately,2,0,05-07-2026
Business Development,"Mane, Khare and Sen",Part Time,21-07-2026,"Bengaluru,Pune",Immediately,3,10000,16-09-2026
AI/ML Intern,Padmanabhan-Jaggi,Part Time,03-02-2026,Lucknow,Immediately,5,10000,01-04-2026
Data Analyst,Jaggi LLC,Remote,16-07-2026,"Pune,Bengaluru,Delhi,Mumbai",Immediately,11,15000,26-08-2026
Business Development,Chhabra and Sons,Remote,16-07-2026,Hyderabad,13-08-2026,5,15000,03-08-2026
Marketing,Murthy and Sons,Full Time,01-02-2026,"Ahmedabad,Pune,Chennai",Immediately,6,15000,22-02-2026
Business Development,Gole-Mohanty,Remote,17-05-2026,"Mumbai,Jaipur,Delhi",25-05-2026,10,0,02-07-2026
Business Development,Jhaveri-Dave,Remote,17-01-2026,"Pune,Lucknow",Immediately,6,5000,15-03-2026
Content Writing,Atwal LLC,Full Time,07-03-2026,"Hyderabad,Mumbai",24-03-2026,9,5000,30-03-2026
Content Writing,Bhatt-Lala,Part Time,30-03-2026,Hyderabad,Immediately,1,10000,11-05-2026
Data Analyst,"Gill, Choudhry and Vaidya",Remote,21-07-2026,"Ahmedabad,Bengaluru,Kolkata,Chennai",30-07-2026,7,5000,16-08-2026
Marketing,"Zacharia, Barad and Goel",Full Time,29-05-2026,"Chennai,Pune,Jaipur",Immediately,6,15000,28-07-2026
Data Analyst,"Munshi, Kala and Rastogi",Full Time,05-02-2026,"Mumbai,Jaipur,Chennai,Ahmedabad",14-02-2026,7,0,07-03-2026
Content Writing,Sidhu LLC,Remote,09-05-2026,"Mumbai,Ahmedabad,Delhi",Immediately,6,10000,23-06-2026
Data Analyst,"Srinivasan, Sarna and Patla",Remote,18-06-2026,"Ahmedabad,Kolkata,Bengaluru",Immediately,11,5000,13-07-2026
Marketing,"Kaul, Gulati and Subramaniam",Part Time,22-03-2026,"Jaipur,Chennai,Hyderabad",Immediately,11,5000,08-04-2026
Business Development,"Wable, Srinivas and Tandon",Part Time,30-03-2026,"Pune,Bengaluru,Ahmedabad,Jaipur",23-04-2026,5,5000,27-05-2026
Data Analyst,Swaminathan PLC,Full Time,12-05-2026,"Ahmedabad,Pune",Immediately,11,0,12-06-2026
Content Writing,Bora LLC,Remote,25-04-2026,"Kolkata,Jaipur,Ahmedabad",03-05-2026,10,10000,11-06-2026
Marketing,Chauhan-Minhas,Full Time,13-04-2026,"Pune,Mumbai,Ahmedabad,Delhi",Immediately,2,0,30-04-2026
Business Development,Garde-Mohan,Remote,25-08-2026,"Mumbai,Bengaluru,Hyderabad,Pune",Immediately,11,5000,22-10-2026
Data Analyst,Dubey-Nagy,Remote,02-06-2026,"Chennai,Pune",29-06-2026,4,10000,29-07-2026
Data Analyst,Swaminathan-Khurana,Remote,10-03-2026,Ahmedabad,03-04-2026,11,10000,03-04-2026
Content Writing,"Madan, Koshy and Anne",Part Time,22-04-2026,"Delhi,Mumbai,Ahmedabad",03-05-2026,7,15000,10-06-2026
AI/ML Intern,Bhargava-Dara,Remote,31-07-2026,"Ahmedabad,Mumbai",26-08-2026,3,15000,16-09-2026
Marketing,Yogi-Kohli,Full Time,11-02-2026,"Chennai,Lucknow,Ahmedabad",09-03-2026,10,15000,01-03-2026
Marketing,Seth Inc,Part Time,01-07-2026,Kolkata,Immediately,12,15000,18-07-2026
Web Developer,Madan-Chandra,Full Time,15-03-2026,"Lucknow,Mumbai,Kolkata,Bengaluru",08-04-2026,8,10000,20-04-2026
AI/ML Intern,Sunder LLC,Remote,31-05-2026,"Ahmedabad,Delhi",Immediately,8,10000,21-07-2026
AI/ML Intern,"Dutta, Raj and Sengupta",Part Time,23-06-2026,Hyderabad,Immediately,11,0,13-08-2026
Data Analyst,"Dave, Tank and Modi",Part Time,12-02-2026,"Pune,Chennai,Jaipur",Immediately,6,10000,03-04-2026
Data Analyst,Wason Ltd,Full Time,29-08-2026,"Jaipur,Kolkata,Hyderabad,Bengaluru",07-09-2026,10,15000,02-10-2026
Marketing,"Nazareth, Wali and Sekhon",Remote,26-02-2026,"Mumbai,Bengaluru,Pune",21-03-2026,9,15000,13-04-2026
Web Developer,"Roy, Kari and Thaman",Part Time,06-07-2026,Pune,Immediately,9,5000,28-08-2026
Data Analyst,Issac-Subramanian,Part Time,16-01-2026,Lucknow,Immediately,4,5000,12-02-2026
Marketing,Mital-Puri,Remote,16-04-2026,"Ahmedabad,Lucknow",08-05-2026,10,10000,28-05-2026
Marketing,Parekh Group,Part Time,28-06-2026,Pune,27-07-2026,8,5000,15-07-2026
Marketing,Gandhi-Chatterjee,Full Time,24-03-2026,"Delhi,Hyderabad,Chennai",09-04-2026,2,15000,17-04-2026
Business Development,"Dalal, Mani and Chander",Remote,21-05-2026,"Bengaluru,Chennai",Immediately,6,5000,07-07-2026
Data Analyst,Tara-Setty,Full Time,19-06-2026,"Mumbai,Jaipur,Bengaluru",14-07-2026,6,0,23-07-2026
Business Development,"Sachar, Gola and Tripathi",Full Time,10-05-2026,"Mumbai,Bengaluru,Pune",09-06-2026,1,0,01-07-2026
Content Writing,Grewal-Ben,Remote,21-07-2026,"Pune,Chennai",17-08-2026,4,10000,17-09-2026
Content Writing,Garg-Chokshi,Part Time,29-01-2026,"Pune,Delhi",Immediately,1,0,23-03-2026
Data Analyst,"Baral, Murty and Kadakia",Remote,12-05-2026,"Kolkata,Jaipur,Pune,Delhi",Immediately,3,15000,12-06-2026
Data Analyst,Nigam Inc,Part Time,19-05-2026,"Mumbai,Pune,Hyderabad,Ahmedabad",30-05-2026,1,0,16-07-2026
Data Analyst,Minhas PLC,Remote,30-01-2026,Ahmedabad,26-02-2026,2,0,25-02-2026
AI/ML Intern,Doctor-Dhawan,Remote,23-03-2026,"Ahmedabad,Lucknow,Hyderabad",Immediately,2,5000,12-05-2026
Marketing,"Rattan, Wali and Nayak",Remote,17-02-2026,"Bengaluru,Kolkata,Ahmedabad,Jaipur",09-03-2026,12,10000,06-04-2026
Data Analyst,Swaminathan Ltd,Full Time,22-06-2026,Chennai,Immediately,5,5000,09-07-2026
Business Development,Ben Group,Full Time,02-02-2026,"Mumbai,Lucknow,Kolkata",11-02-2026,7,15000,12-03-2026
Web Developer,Rau-Varty,Remote,20-07-2026,"Mumbai,Lucknow,Pune,Kolkata",Immediately,4,10000,03-09-2026
Business Development,Nigam-Bhavsar,Remote,19-02-2026,"Delhi,Jaipur,Lucknow,Mumbai",01-03-2026,9,0,12-04-2026
Data Analyst,"Batta, Brar and Bose",Part Time,01-01-2026,"Mumbai,Bengaluru,Ahmedabad",22-01-2026,12,0,13-02-2026
AI/ML Intern,Jayaraman-Mukhopadhyay,Full Time,05-05-2026,"Delhi,Chennai,Lucknow,Ahmedabad",25-05-2026,1,15000,13-06-2026
Data Analyst,Balan PLC,Part Time,18-06-2026,Lucknow,17-07-2026,12,5000,17-07-2026
Business Development,Sandhu Inc,Full Time,04-07-2026,"Delhi,Pune",Immediately,12,0,19-07-2026
Business Development,Deshpande Group,Remote,04-02-2026,"Pune,Delhi",Immediately,6,10000,03-04-2026
AI/ML Intern,Chaudhary and Sons,Full Time,14-03-2026,"Hyderabad,Bengaluru,Pune,Chennai",Immediately,9,5000,28-04-2026
Marketing,Patla Ltd,Remote,21-07-2026,"Chennai,Lucknow,Jaipur",13-08-2026,8,15000,17-08-2026
AI/ML Intern,Halder-Mani,Part Time,03-05-2026,Chennai,28-05-2026,8,10000,03-06-2026
Web Developer,Prabhu-Srinivas,Remote,21-07-2026,"Pune,Bengaluru",Immediately,3,0,09-09-2026
Business Development,Kota LLC,Part Time,13-02-2026,"Chennai,Jaipur",09-03-2026,5,0,22-03-2026
Web Developer,Dara PLC,Part Time,06-03-2026,"Mumbai,Ahmedabad,Bengaluru,Kolkata",Immediately,6,15000,16-04-2026
Data Analyst,Narasimhan Group,Part Time,13-02-2026,"Lucknow,Jaipur,Chennai",28-02-2026,8,0,13-03-2026
Marketing,Sabharwal-Nayak,Full Time,07-08-2026,"Jaipur,Mumbai,Delhi,Pune",Immediately,9,15000,08-09-2026
Content Writing,Balasubramanian PLC,Part Time,25-02-2026,"Delhi,Pune",Immediately,2,5000,19-03-2026
AI/ML Intern,"Mital, Dhingra and Bhatti",Full Time,24-01-2026,"Bengaluru,Ahmedabad",11-02-2026,10,10000,11-02-2026
Data Analyst,Hans PLC,Full Time,19-05-2026,"Kolkata,Chennai,Jaipur,Lucknow",Immediately,3,0,14-06-2026
Marketing,"Dara, Pingle and Bassi",Part Time,30-06-2026,Pune,30-07-2026,2,15000,01-08-2026
Data Analyst,Chand-Nagarajan,Part Time,07-02-2026,"Mumbai,Jaipur,Pune",Immediately,11,0,03-04-2026
Data Analyst,Pau-Jayaraman,Part Time,10-01-2026,"Ahmedabad,Jaipur",Immediately,7,15000,23-02-2026
AI/ML Intern,"Narang, Dyal and Chanda",Full Time,09-04-2026,"Chennai,Ahmedabad,Pune,Delhi",Immediately,12,15000,28-05-2026
Marketing,"Puri, Amble and Taneja",Full Time,27-08-2026,Bengaluru,21-09-2026,7,0,13-10-2026
Web Developer,Divan Ltd,Remote,12-03-2026,"Delhi,Hyderabad,Jaipur",08-04-2026,10,15000,08-04-2026
Content Writing,"Nayak, Wali and Varghese",Remote,14-01-2026,"Ahmedabad,Jaipur,Lucknow,Delhi",22-01-2026,12,10000,27-02-2026
Data Analyst,Ratti-Sachdeva,Part Time,17-01-2026,"Lucknow,Chennai,Ahmedabad,Jaipur",25-01-2026,3,10000,17-03-2026
Data Analyst,Trivedi-Misra,Part Time,14-05-2026,"Mumbai,Delhi",25-05-2026,12,5000,08-06-2026
Marketing,More and Sons,Remote,16-01-2026,Hyderabad,Immediately,3,15000,06-03-2026
Business Development,Bhatti Ltd,Part Time,25-03-2026,"Bengaluru,Ahmedabad,Chennai",Immediately,9,10000,03-05-2026
Data Analyst,Chacko-Upadhyay,Remote,21-03-2026,"Bengaluru,Jaipur",Immediately,5,0,05-04-2026
AI/ML Intern,Barad-Sani,Full Time,11-05-2026,Hyderabad,23-05-2026,8,10000,19-06-2026
Content Writing,Sharma Ltd,Part Time,25-08-2026,"Ahmedabad,Kolkata",23-09-2026,12,10000,26-09-2026
Web Developer,Andra-Aggarwal,Full Time,04-04-2026,"Mumbai,Delhi",01-05-2026,4,10000,03-05-2026
Data Analyst,Ben and Sons,Remote,29-04-2026,"Pune,Bengaluru",16-05-2026,7,0,14-05-2026
Marketing,"Deol, Ben and Bhalla",Full Time,17-06-2026,"Lucknow,Pune,Mumbai,Chennai",Immediately,9,5000,22-07-2026
Business Development,Bhatt Group,Part Time,14-06-2026,"Mumbai,Lucknow",Immediately,12,15000,06-07-2026
Data Analyst,"Peri, Pant and Sheth",Remote,16-06-2026,"Lucknow,Jaipur",15-07-2026,9,0,03-07-2026
Content Writing,Pandit-Nair,Full Time,08-07-2026,"Kolkata,Jaipur,Pune,Hyderabad",02-08-2026,12,15000,02-08-2026
Web Developer,Bhasin LLC,Remote,26-04-2026,Bengaluru,24-05-2026,11,5000,16-06-2026
Data Analyst,Pai and Sons,Remote,19-05-2026,"Bengaluru,Mumbai",12-06-2026,3,0,07-06-2026
Data Analyst,Reddy Group,Part Time,02-01-2026,"Hyderabad,Ahmedabad",Immediately,6,10000,03-02-2026
Marketing,Nazareth Inc,Part Time,25-04-2026,"Jaipur,Delhi",Immediately,7,5000,13-05-2026
AI/ML Intern,Virk-Taneja,Part Time,20-05-2026,"Mumbai,Delhi",29-05-2026,10,0,04-07-2026
Data Analyst,Babu-Bajwa,Full Time,26-04-2026,"Delhi,Ahmedabad,Jaipur",19-05-2026,7,15000,04-06-2026
AI/ML Intern,Dara-Sehgal,Full Time,25-07-2026,"Lucknow,Pune,Kolkata",20-08-2026,5,10000,23-08-2026
AI/ML Intern,Sampath Inc,Full Time,13-08-2026,"Ahmedabad,Bengaluru,Mumbai",Immediately,7,15000,16-09-2026
Business Development,Ramanathan PLC,Full Time,13-05-2026,"Jaipur,Bengaluru,Ahmedabad",Immediately,9,5000,25-06-2026
AI/ML Intern,Dugar PLC,Full Time,24-07-2026,"Delhi,Ahmedabad,Lucknow",Immediately,6,0,31-08-2026
Data Analyst,Ghosh Ltd,Part Time,23-05-2026,"Pune,Mumbai",Immediately,12,10000,05-07-2026
Marketing,"Mani, Venkatesh and Ramachandran",Part Time,26-07-2026,Jaipur,Immediately,7,10000,16-08-2026
Business Development,Grewal-Aurora,Full Time,19-08-2026,"Kolkata,Mumbai,Bengaluru,Hyderabad",31-08-2026,9,15000,19-09-2026
Data Analyst,Grover-Ramesh,Part Time,27-07-2026,Pune,14-08-2026,9,10000,15-08-2026
Business Development,"Butala, Grover and Doshi",Part Time,29-06-2026,Mumbai,29-07-2026,3,15000,25-08-2026
Marketing,"Bhalla, Sachar and Dayal",Full Time,22-02-2026,"Bengaluru,Delhi",Immediately,6,0,09-04-2026
Content Writing,Thaman-Dhawan,Remote,27-08-2026,"Kolkata,Hyderabad,Pune,Delhi",Immediately,11,15000,03-10-2026
Content Writing,Gill LLC,Remote,17-07-2026,"Delhi,Hyderabad,Mumbai,Ahmedabad",28-07-2026,5,0,30-08-2026
Web Developer,Apte Group,Full Time,17-05-2026,"Mumbai,Delhi",01-06-2026,2,5000,02-06-2026
AI/ML Intern,Loke-Purohit,Remote,18-03-2026,"Chennai,Bengaluru",17-04-2026,6,15000,12-04-2026
Web Developer,Mitter-Kala,Full Time,24-08-2026,"Pune,Jaipur",Immediately,9,5000,13-10-2026
Marketing,Goda Group,Part Time,04-05-2026,"Lucknow,Kolkata,Hyderabad,Chennai",Immediately,5,5000,22-06-2026
Marketing,Ramaswamy Inc,Remote,03-03-2026,"Lucknow,Delhi",Immediately,3,0,17-04-2026
AI/ML Intern,Choudhury Inc,Full Time,04-02-2026,Delhi,01-03-2026,10,5000,01-04-2026
Web Developer,"Goyal, Issac and Banerjee",Full Time,20-08-2026,"Lucknow,Hyderabad,Delhi,Mumbai",Immediately,10,5000,17-10-2026
Marketing,Bhandari-Pillai,Remote,29-05-2026,"Lucknow,Delhi",15-06-2026,2,15000,20-06-2026
Content Writing,Suri-Hayer,Remote,07-08-2026,"Lucknow,Chennai,Jaipur",30-08-2026,4,5000,05-10-2026
Web Developer,Shankar Inc,Part Time,17-03-2026,Hyderabad,15-04-2026,1,0,30-04-2026
Content Writing,D’Alia Group,Part Time,01-08-2026,"Delhi,Bengaluru,Jaipur",Immediately,11,0,17-09-2026
Data Analyst,"Anand, Zachariah and Parikh",Remote,26-06-2026,"Kolkata,Bengaluru",12-07-2026,8,5000,05-08-2026
AI/ML Intern,Nanda Group,Full Time,17-07-2026,"Chennai,Pune",Immediately,8,0,11-08-2026
Content Writing,Tata Ltd,Full Time,01-02-2026,"Chennai,Pune",Immediately,1,5000,02-04-2026
Marketing,"Loke, Ahluwalia and Talwar",Full Time,13-06-2026,Ahmedabad,04-07-2026,5,15000,10-07-2026
Data Analyst,Kapur-Kumar,Part Time,28-07-2026,"Lucknow,Mumbai,Ahmedabad",20-08-2026,12,0,17-09-2026
Marketing,Rout-Nanda,Part Time,15-08-2026,"Kolkata,Delhi,Pune",Immediately,5,10000,03-09-2026
Data Analyst,"Chacko, Randhawa and Hayre",Full Time,22-01-2026,"Mumbai,Lucknow",15-02-2026,10,5000,14-02-2026
Marketing,"Ratti, Ahluwalia and Tara",Full Time,16-07-2026,"Mumbai,Kolkata,Lucknow,Ahmedabad",14-08-2026,6,15000,05-08-2026
Marketing,"Luthra, Wason and Andra",Remote,30-01-2026,"Ahmedabad,Lucknow",Immediately,6,10000,19-03-2026
Data Analyst,Tiwari-Garg,Remote,22-05-2026,Hyderabad,11-06-2026,2,0,15-06-2026
AI/ML Intern,"Khurana, Sodhi and Seshadri",Full Time,03-01-2026,"Pune,Hyderabad,Lucknow",31-01-2026,6,5000,15-02-2026
Business Development,"Palan, Sathe and Din",Part Time,03-02-2026,Chennai,15-02-2026,4,15000,25-03-2026
Business Development,Bava PLC,Full Time,04-03-2026,"Lucknow,Jaipur,Delhi,Ahmedabad",Immediately,11,0,26-04-2026
Marketing,Kata Group,Part Time,02-06-2026,Pune,Immediately,6,15000,30-06-2026
Marketing,"Dalal, Mistry and Swaminathan",Part Time,09-05-2026,"Lucknow,Bengaluru,Delhi",31-05-2026,4,5000,06-06-2026
Web Developer,Devi Ltd,Remote,16-03-2026,"Jaipur,Kolkata",15-04-2026,8,0,09-04-2026
Web Developer,Bal-Korpal,Remote,04-04-2026,"Hyderabad,Bengaluru",02-05-2026,5,0,18-05-2026
Web Developer,Kashyap PLC,Remote,12-03-2026,"Chennai,Mumbai,Delhi,Jaipur",25-03-2026,10,10000,31-03-2026
AI/ML Intern,Loke-Sheth,Full Time,31-05-2026,Kolkata,20-06-2026,7,5000,18-07-2026
Web Developer,"Munshi, Chander and Ramakrishnan",Remote,06-05-2026,"Pune,Mumbai",Immediately,1,0,26-06-2026
Content Writing,Sunder LLC,Remote,02-05-2026,Delhi,Immediately,11,10000,30-06-2026
Web Developer,Arora Group,Full Time,23-07-2026,"Ahmedabad,Jaipur,Delhi,Bengaluru",Immediately,1,5000,22-08-2026
Content Writing,"Gandhi, Ramachandran and Mandal",Remote,22-04-2026,"Mumbai,Bengaluru",11-05-2026,10,10000,30-05-2026
Content Writing,Rattan LLC,Part Time,29-05-2026,Hyderabad,Immediately,11,10000,11-07-2026
Marketing,Mital-Pandya,Part Time,12-04-2026,"Jaipur,Hyderabad,Pune,Mumbai",19-04-2026,3,0,01-06-2026
Business Development,Badal-Gara,Part Time,15-06-2026,"Jaipur,Ahmedabad,Kolkata,Pune",05-07-2026,2,5000,13-08-2026
Marketing,Tak-Pandit,Part Time,04-06-2026,"Pune,Lucknow,Kolkata",Immediately,2,15000,08-07-2026
Business Development,"Mohanty, Date and Bose",Remote,20-02-2026,"Jaipur,Kolkata,Delhi",Immediately,12,15000,28-03-2026
Marketing,Loke Inc,Full Time,05-07-2026,"Ahmedabad,Mumbai,Bengaluru,Pune",Immediately,6,5000,31-07-2026
Marketing,Chaudhari-Patil,Full Time,13-08-2026,"Jaipur,Bengaluru,Pune",Immediately,4,0,21-09-2026
Business Development,"Kamdar, Sandal and Tak",Remote,01-03-2026,Chennai,Immediately,6,0,14-04-2026
Content Writing,"Saxena, Pandey and Sheth",Remote,31-07-2026,"Pune,Ahmedabad,Kolkata,Delhi",Immediately,9,15000,18-09-2026
Web Developer,Dhar-Mukherjee,Full Time,31-07-2026,"Lucknow,Hyderabad",28-08-2026,1,10000,06-09-2026
Data Analyst,Choudhry-Kulkarni,Part Time,05-03-2026,"Bengaluru,Hyderabad,Lucknow",21-03-2026,8,0,25-04-2026
AI/ML Intern,Shetty-Modi,Part Time,26-02-2026,Kolkata,Immediately,5,10000,14-04-2026
AI/ML Intern,Bath-Borra,Part Time,19-06-2026,"Ahmedabad,Chennai,Delhi,Jaipur",Immediately,2,15000,04-07-2026
Data Analyst,Sane-Sahota,Remote,07-03-2026,"Chennai,Hyderabad,Bengaluru",04-04-2026,3,5000,05-05-2026
Data Analyst,"Lal, Ratta and Memon",Full Time,21-03-2026,"Ahmedabad,Lucknow",Immediately,3,10000,01-05-2026
Marketing,"Sekhon, Dani and Rao",Remote,06-03-2026,"Mumbai,Chennai",Immediately,7,0,25-04-2026
Content Writing,Sibal-Andra,Part Time,20-03-2026,Hyderabad,Immediately,8,0,21-04-2026
AI/ML Intern,Mitter PLC,Full Time,12-08-2026,Lucknow,Immediately,10,10000,12-09-2026
Data Analyst,"Srinivas, Wagle and Bora",Part Time,15-06-2026,Ahmedabad,14-07-2026,11,0,13-07-2026
Business Development,"Narang, Brar and Puri",Remote,12-08-2026,"Chennai,Lucknow,Mumbai",21-08-2026,11,15000,14-09-2026
Marketing,"Ramanathan, Ranganathan and Sanghvi",Remote,05-03-2026,Bengaluru,Immediately,11,0,28-03-2026
Business Development,"Manne, Anne and Mahal",Remote,19-03-2026,"Hyderabad,Jaipur,Delhi,Mumbai",Immediately,12,10000,05-05-2026
Data Analyst,Bhandari-Chand,Full Time,21-03-2026,Kolkata,03-04-2026,7,15000,27-04-2026
AI/ML Intern,Arora-Sami,Full Time,26-06-2026,"Kolkata,Ahmedabad",14-07-2026,8,0,09-08-2026
AI/ML Intern,Dash-Mohanty,Remote,04-04-2026,"Jaipur,Bengaluru",11-04-2026,12,0,10-05-2026
Content Writing,Balasubramanian Inc,Remote,01-08-2026,"Bengaluru,Pune,Kolkata,Jaipur",10-08-2026,1,0,05-09-2026
Data Analyst,Deol PLC,Part Time,26-06-2026,"Jaipur,Lucknow",Immediately,2,0,20-08-2026
Business Development,Raman LLC,Part Time,15-06-2026,"Bengaluru,Kolkata",Immediately,8,10000,10-07-2026
AI/ML Intern,Sachdeva-Rattan,Full Time,22-05-2026,"Jaipur,Hyderabad,Delhi,Lucknow",30-05-2026,8,10000,27-06-2026
Data Analyst,"Shah, Basak and Upadhyay",Full Time,18-05-2026,"Ahmedabad,Mumbai",28-05-2026,3,0,15-07-2026
Marketing,"Raju, Saran and Devi",Part Time,29-05-2026,Hyderabad,09-06-2026,12,0,13-06-2026
AI/ML Intern,"Gandhi, Iyer and Venkatesh",Full Time,12-01-2026,Ahmedabad,23-01-2026,12,10000,10-03-2026
Data Analyst,"Salvi, Parikh and Butala",Full Time,19-05-2026,"Pune,Chennai,Jaipur,Ahmedabad",Immediately,3,10000,13-06-2026
Content Writing,Balan-Koshy,Part Time,12-02-2026,Jaipur,10-03-2026,5,10000,05-03-2026
Content Writing,Shroff Group,Remote,17-01-2026,Delhi,Immediately,6,5000,20-02-2026
Content Writing,"Patil, Dey and Chander",Full Time,09-08-2026,"Bengaluru,Pune,Mumbai",Immediately,2,0,01-09-2026
Web Developer,"Kumar, Khalsa and Chand",Part Time,09-03-2026,"Bengaluru,Lucknow,Mumbai",21-03-2026,5,10000,08-05-2026
Marketing,Baria and Sons,Full Time,19-05-2026,Ahmedabad,28-05-2026,5,5000,13-07-2026
Web Developer,Malhotra-Purohit,Full Time,02-05-2026,Delhi,28-05-2026,3,15000,05-06-2026
AI/ML Intern,Memon-Narayanan,Full Time,11-01-2026,Pune,Immediately,11,10000,19-02-2026
Business Development,Manda-Rao,Part Time,09-07-2026,Mumbai,18-07-2026,3,15000,16-08-2026
AI/ML Intern,"Narain, Wali and Nagy",Part Time,22-04-2026,"Chennai,Pune,Jaipur",16-05-2026,12,5000,03-06-2026
Web Developer,Keer PLC,Part Time,03-03-2026,"Bengaluru,Jaipur,Chennai",21-03-2026,11,5000,16-04-2026
Marketing,Gill Ltd,Full Time,30-08-2026,"Mumbai,Lucknow",Immediately,10,15000,28-09-2026
AI/ML Intern,Dube-Deshmukh,Part Time,26-06-2026,Kolkata,10-07-2026,9,15000,28-07-2026
Data Analyst,"Sarma, Mishra and Karnik",Full Time,09-06-2026,"Hyderabad,Delhi,Pune,Kolkata",20-06-2026,4,5000,07-08-2026
Content Writing,Reddy LLC,Remote,12-02-2026,"Jaipur,Chennai",05-03-2026,12,0,24-03-2026
AI/ML Intern,Gole Ltd,Part Time,08-05-2026,"Bengaluru,Kolkata",Immediately,1,0,10-06-2026
Business Development,"Taneja, Viswanathan and Lalla",Part Time,11-07-2026,Kolkata,08-08-2026,5,5000,11-08-2026
AI/ML Intern,"Dutta, Kurian and Upadhyay",Full Time,17-05-2026,"Bengaluru,Hyderabad,Pune,Delhi",05-06-2026,12,15000,28-06-2026
Web Developer,Narayan Ltd,Part Time,23-04-2026,"Jaipur,Mumbai,Chennai",Immediately,6,0,06-06-2026
Marketing,Shroff LLC,Remote,06-03-2026,"Delhi,Mumbai,Ahmedabad",22-03-2026,3,5000,29-04-2026
Marketing,"Andra, Shenoy and Acharya",Remote,17-07-2026,"Jaipur,Bengaluru",30-07-2026,7,10000,24-08-2026
Content Writing,"Swaminathan, Batra and Bhattacharyya",Remote,24-04-2026,"Kolkata,Mumbai,Hyderabad",Immediately,1,10000,30-05-2026
Data Analyst,Ratta-Gade,Part Time,26-06-2026,"Hyderabad,Delhi",Immediately,3,10000,28-07-2026
Business Development,Contractor-Chada,Remote,05-03-2026,"Ahmedabad,Chennai",22-03-2026,11,0,20-04-2026
Web Developer,Narula-Pandya,Remote,01-06-2026,Delhi,Immediately,11,5000,04-07-2026
Content Writing,Vala-Saha,Part Time,10-07-2026,"Bengaluru,Jaipur,Kolkata",27-07-2026,12,15000,27-07-2026
AI/ML Intern,"Chaudhari, Som and Srivastava",Part Time,05-02-2026,"Mumbai,Delhi",21-02-2026,1,0,23-02-2026
Marketing,Palla-Suri,Part Time,15-08-2026,"Lucknow,Chennai",Immediately,6,0,14-10-2026
Business Development,Vaidya Ltd,Remote,11-06-2026,Bengaluru,Immediately,6,5000,25-07-2026
AI/ML Intern,"Kannan, Grewal and Salvi",Remote,20-06-2026,Bengaluru,Immediately,9,5000,11-07-2026
Data Analyst,Munshi-Batta,Part Time,16-05-2026,"Pune,Bengaluru",09-06-2026,1,15000,10-07-2026
Marketing,"Chacko, Dash and Karan",Remote,18-01-2026,"Ahmedabad,Lucknow",03-02-2026,8,15000,09-03-2026
